city_id,city
859,Kapellen
860,Kalmthout
861,Izegem
862,Ieper
863,Huy
864,Houthalen
865,Hoogstraten
866,Hoboken
867,Heusden
868,Herzele
869,Herve
870,Herstal
871,Herentals
872,Herent
873,Helchteren
874,Heist-op-den-Berg
875,Hasselt
876,Harelbeke
877,Hamme
878,Halle
879,Haaltert
880,Grimbergen
881,Geraardsbergen
882,Gent
883,Genk
884,Gembloux
885,Geel
886,Frameries
887,Fleurus
888,Fléron
889,Flémalle-Haute
890,Evergem
891,Eupen
892,Essen
893,Eeklo
894,Edegem
895,Duffel
896,Dour
897,Dilbeek
898,Diksmuide
899,Diest
900,Diepenbeek
901,Destelbergen
902,Dendermonde
903,Denderleeuw
904,Deinze
905,Courcelles
906,Colfontaine
907,Chaudfontaine
908,Châtelet
909,Chasse Royale
910,Charleroi
911,Brussels
912,Brugge
913,Brecht
914,Brasschaat
915,Braine-le-Comte
916,Braine-l'Alleud
917,Boussu
918,Bornem
919,Boom
920,Blankenberge
921,Binche
922,Bilzen
923,Beveren
924,Beringen
925,Beersel
926,Beerse
927,Balen
928,Ath
929,Asse
930,Arlon
931,Antwerpen
932,Ans
933,Andenne
934,Aarschot
935,Aalter
936,Aalst
937,Zorgo
938,Yako
939,Tougan
940,Titao
941,Tenkodogo
942,Réo
943,Pô
944,Ouahigouya
945,Ouagadougou
946,Nouna
947,Manga
948,Léo
949,Koupéla
950,Koudougou
951,Kongoussi
952,Kombissiri
953,Kokologo
954,Kaya
955,Houndé
956,Gourcy
957,Garango
958,Fada N'gourma
959,Dori
960,Djibo
961,Diapaga
962,Dédougou
963,Boussé
964,Boulsa
965,Bobo-Dioulasso
966,Banfora
967,Gaoua
968,Orodara
969,Yambol
970,Vratsa
971,Vidin
972,Velingrad
973,Veliko T?rnovo
974,Varna
975,Targovishte
976,Troyan
977,Dobrich
978,Svishtov
979,Svilengrad
980,Stara Zagora
981,Dupnitsa
982,Sofia
983,Smolyan
984,Sliven
985,Silistra
986,Shumen
987,Sevlievo
988,Sandanski
989,Samokov
990,Ruse
991,Razgrad
992,Rakovski
993,Popovo
994,Plovdiv
995,Pleven
996,Petrich
997,Peshtera
998,Pernik
999,Pazardzhik
1000,Panagyurishte
1001,Nova Zagora
1002,Montana
1003,Lovech
1004,Lom
1005,Kyustendil
1006,Kardzhali
1007,Haskovo
1008,Harmanli
1009,Kazanlak
1010,Karnobat
1011,Karlovo
1012,Gotse Delchev
1013,Gorna Oryahovitsa
1014,Gabrovo
1015,Dimitrovgrad
1016,Chirpan
1017,Cherven Bryag
1018,Burgas
1019,Botevgrad
1020,Blagoevgrad
1021,Berkovitsa
1022,Aytos
1023,Asenovgrad
1024,Sitrah
1025,Mad?nat ‘?sá
1026,Jidd ?af?
1027,Mad?nat ?amad
1028,D?r Kulayb
1029,Al Muharraq
1030,Manama
1031,Ar Rif?‘
1032,Makamba
1033,Bururi
1034,Bujumbura
1035,Muramvya
1036,Gitega
1037,Ruyigi
1038,Ngozi
1039,Kayanza
1040,Muyinga
1041,Rutana
1042,Tchaourou
1043,Tanguiéta
1044,Savé
1045,Savalou
1046,Sakété
1047,Porto-Novo
1048,Pobé
1049,Parakou
1050,Ouidah
1051,Nikki
1052,Natitingou
1053,Malanville
1054,Lokossa
1055,Kétou
1056,Kandi
1057,Dogbo
1058,Djougou
1059,Dassa-Zoumé
1060,Cové
1061,Cotonou
1062,Comé
1063,Bohicon
1064,Bembèrèkè
1065,Bassila
1066,Banikoara
1067,Aplahoué
1068,Allada
1069,Abomey-Calavi
1070,Abomey
1071,Gustavia
1072,Hamilton
1073,Tutong
1074,Seria
1075,Kuala Belait
1076,Bandar Seri Begawan
1077,Yacuiba
1078,Warnes
1079,Villazón
1080,Villa Yapacaní
1081,Villamontes
1082,Tupiza
1083,Trinidad
1084,Tarija
1085,Sucre
1086,Santiago del Torno
1087,Santa Cruz de la Sierra
1088,San Ignacio de Velasco
1089,San Borja
1090,Riberalta
1091,Punata
1092,Potosí
1093,Oruro
1094,Montero
1095,Mizque
1096,Llallagua
1097,La Paz
1098,Huanuni
1099,Guayaramerín
1100,Cotoca
1101,Cochabamba
1102,Cobija
1103,Camiri
1104,Kralendijk
1105,Vitória do Mearim
1106,Vitória de Santo Antão
1107,Viseu
1108,Conde
1109,Vigia
1110,Viçosa do Ceará
1111,Viçosa
1112,Viana
1113,Várzea Alegre
1114,Varjota
1115,Vargem Grande
1116,Valença do Piauí
1117,União dos Palmares
1118,União
1119,Tuntum
1120,Tucuruí
1121,Tucumã
1122,Trindade
1123,Trairi
1124,Toritama
1125,Tomé Açu
1126,Timon
1127,Timbiras
1128,Timbaúba
1129,Tianguá
1130,Teresina
1131,São João dos Inhamuns
1132,Tamandaré
1133,Tabira
1134,Surubim
1135,Sousa
1136,Soure
1137,Solânea
1138,Sobral
1139,Sirinhaém
1140,Sertânia
1141,Serra Talhada
1142,Senador Pompeu
1143,Satuba
1144,São Raimundo Nonato
1145,São Miguel dos Campos
1146,São Miguel do Guamá
1147,São Mateus do Maranhão
1148,São Luís do Quitunde
1149,São Luís
1150,São Lourenço da Mata
1151,São José do Egito
1152,São José de Ribamar
1153,São José de Mipibu
1154,São João dos Patos
1155,São Gonçalo do Amarante
1156,São Félix do Xingu
1157,São Domingos do Maranhão
1158,São Bento
1159,São Bento
1160,Santa Rita
1161,Santarém
1162,Santa Quitéria do Maranhão
1163,Santa Quitéria
1164,Santana do Ipanema
1165,Santa Luzia
1166,Santa Inês
1167,Santa Helena
1168,Santa Cruz do Capibaribe
1169,Santa Cruz
1170,Salinópolis
1171,Salgueiro
1172,Russas
1173,Rio Largo
1174,Rio Formoso
1175,Ribeirão
1176,Recife
1177,Quixeramobim
1178,Quixadá
1179,Presidente Dutra
1180,Santana
1181,Porto Calvo
1182,Portel
1183,Pombos
1184,Pombal
1185,Piripiri
1186,Piracuruca
1187,Pinheiro
1188,Pindaré Mirim
1189,Pilar
1190,Picos
1191,Petrolina
1192,Jatobá
1193,Pesqueira
1194,Pentecoste
1195,Penalva
1196,Pedro II
1197,Pedra Branca
1198,Paulo Afonso
1199,Paulista
1200,Patos
1201,Parnamirim
1202,Parnaíba
1203,Parintins
1204,Parelhas
1205,Paraipaba
1206,Paragominas
1207,Paracuru
1208,Palmares
1209,Pacatuba
1210,Pacajus
1211,Ouricuri
1212,Orós
1213,Oriximiná
1214,Olinda
1215,Oeiras
1216,Ábidos
1217,Nova Russas
1218,Nova Cruz
1219,Nazaré da Mata
1220,Natal
1221,Murici
1222,Moreno
1223,Morada Nova
1224,Monteiro
1225,Monte Alegre
1226,Mombaça
1227,Moju
1228,Mossoró
1229,Mocajuba
1230,Maués
1231,Matriz de Camaragibe
1232,Mari
1233,Marechal Deodoro
1234,Maragogi
1235,Maracanaú
1236,Marabá
1237,Mamanguape
1238,Maceió
1239,Macau
1240,Macapá
1241,Macaíba
1242,Limoeiro do Norte
1243,Limoeiro
1244,Lavras da Mangabeira
1245,Lajedo
1246,Lago da Pedra
1247,Lagoa do Itaenga
1248,Juazeiro do Norte
1249,José de Freitas
1250,João Pessoa
1251,João Câmara
1252,Jaguaruana
1253,Jaguaribe
1254,Jaboatão
1255,Itupiranga
1256,Itacoatiara
1257,Itaporanga
1258,Itapissuma
1259,Itapipoca
1260,Itapecuru Mirim
1261,Itapagé
1262,Itaituba
1263,Itaitinga
1264,Itabaiana
1265,Ipueiras
1266,Ipubi
1267,Ipu
1268,Ipojuca
1269,Imperatriz
1270,Iguatu
1271,Igarapé Miri
1272,Igarapé Açu
1273,Igarassu
1274,Icó
1275,Horizonte
1276,Guaraciaba do Norte
1277,Guarabira
1278,Guaiúba
1279,Gravatá
1280,Granja
1281,Grajaú
1282,Goiana
1283,Glória do Goitá
1284,Garanhuns
1285,Gameleira
1286,Fortaleza
1287,Floriano
1288,Floresta
1289,Eusébio
1290,Extremoz
1291,Estreito
1292,Esperantina
1293,Esperança
1294,Escada
1295,Dom Pedro
1296,Demerval Lobão
1297,Delmiro Gouveia
1298,Custódia
1299,Cururupu
1300,Currais Novos
1301,Cupira
1302,Crato
1303,Crateús
1304,Coroatá
1305,Condado
1306,Conceição do Araguaia
1307,Colinas
1308,Coelho Neto
1309,Codó
1310,Chapadinha
1311,Chã Grande
1312,Ceará Mirim
1313,Caxias
1314,Caucaia
1315,Catolé do Rocha
1316,Catende
1317,Castanhal
1318,Cascavel
1319,Caruaru
1320,Carpina
1321,Carolina
1322,Capitão Poço
1323,Capanema
1324,Canindé
1325,Canguaretama
1326,Campos Sales
1327,Campo Maior
1328,Campo Alegre
1329,Campina Grande
1330,Camocim
1331,Cametá
1332,Cajueiro
1333,Cajazeiras
1334,Caicó
1335,Cabrobó
1336,Cabo
1337,Cabedelo
1338,Buriti Bravo
1339,Buíque
1340,Breves
1341,Brejo Santo
1342,Brejo da Madre de Deus
1343,Bragança
1344,Bom Conselho
1345,Boa Viagem
1346,Bezerros
1347,Benevides
1348,Belo Jardim
1349,Belém
1350,Belém
1351,Beberibe
1352,Bayeux
1353,Baturité
1354,Barreiros
1355,Barreirinhas
1356,Barras
1357,Barra do Corda
1358,Barcarena
1359,Barbalha
1360,Balsas
1361,Bacabal
1362,Augusto Corrêa
1363,Atalaia
1364,Areia Branca
1365,Arcoverde
1366,Araripina
1367,Arari
1368,Arapiraca
1369,Araguaína
1370,Aracati
1371,Aquiraz
1372,Apodi
1373,Ananindeua
1374,Amaraji
1375,Altos
1376,Altamira
1377,Almeirim
1378,Alenquer
1379,Alagoa Grande
1380,Águas Belas
1381,Água Preta
1382,Afogados da Ingazeira
1383,Açu
1384,Acopiara
1385,Acaraú
1386,Abreu e Lima
1387,Abaetetuba
1388,Xique Xique
1389,Xanxerê
1390,Votuporanga
1391,Votorantim
1392,Volta Redonda
1393,Vitória da Conquista
1394,Vitória
1395,Visconde do Rio Branco
1396,Viradouro
1397,Vinhedo
1398,Vila Velha
1399,Videira
1400,Viçosa
1401,Viana
1402,Viamão
1403,Vespasiano
1404,Veranópolis
1405,Vera Cruz
1406,Wenceslau Braz
1407,Venâncio Aires
1408,Vazante
1409,Vassouras
1410,Várzea Paulista
1411,Várzea Grande
1412,Várzea da Palma
1413,Varginha
1414,Vargem Grande do Sul
1415,Valparaíso
1416,Valinhos
1417,Valença
1418,Valença
1419,Vacaria
1420,Uruguaiana
1421,Uruçuca
1422,Uruaçu
1423,União da Vitória
1424,Unaí
1425,Una
1426,Umuarama
1427,Uberlândia
1428,Uberaba
1429,Ubatuba
1430,Ubatã
1431,Ubaitaba
1432,Ubá
1433,Tupanciretã
1434,Tupaciguara
1435,Tupã
1436,Tucano
1437,Tubarão
1438,Trindade
1439,Três Rios
1440,Três Pontas
1441,Três Passos
1442,Três Lagoas
1443,Três de Maio
1444,Três Coroas
1445,Três Corações
1446,Tremembé
1447,Tramandaí
1448,Torres
1449,Toledo
1450,Tobias Barreto
1451,Timóteo
1452,Timbó
1453,Tijucas
1454,Tietê
1455,Teutônia
1456,Teresópolis
1457,Teófilo Otoni
1458,Teodoro Sampaio
1459,Telêmaco Borba
1460,Taubaté
1461,Tatuí
1462,Taquarituba
1463,Taquaritinga
1464,Taquari
1465,Taquara
1466,Tapiramutá
1467,Tapes
1468,Tanguá
1469,Tanabi
1470,Tambaú
1471,Taiobeiras
1472,Taboão da Serra
1473,Suzano
1474,Sumaré
1475,Sorocaba
1476,Soledade
1477,Socorro
1478,Sobradinho
1479,Simão Dias
1480,Silva Jardim
1481,Sidrolândia
1482,Sete Lagoas
1483,Sertãozinho
1484,Serrinha
1485,Serra Negra
1486,Serrana
1487,Serra
1488,Seropédica
1489,Senhor do Bonfim
1490,Senador Canedo
1491,Seabra
1492,Schroeder
1493,Saubara
1494,Sarzedo
1495,Sarandi
1496,Sarandi
1497,Saquarema
1498,Sapucaia
1499,Sapiranga
1500,São Vicente
1501,São Sepé
1502,São Sebastião do Passé
1503,São Sebastião do Paraíso
1504,São Sebastião do Caí
1505,São Sebastião
1506,São Roque
1507,São Pedro da Aldeia
1508,São Pedro
1509,São Paulo
1510,São Miguel do Iguaçu
1511,São Miguel do Araguaia
1512,São Mateus do Sul
1513,São Mateus
1514,São Marcos
1515,São Manuel
1516,São Luiz Gonzaga
1517,São Luís de Montes Belos
1518,São Lourenço do Sul
1519,São Lourenço
1520,São Leopoldo
1521,São José dos Pinhais
1522,São José dos Campos
1523,São José do Rio Preto
1524,São José do Rio Pardo
1525,São José
1526,São Joaquim da Barra
1527,São Joaquim
1528,São João Nepomuceno
1529,São João de Meriti
1530,São João del Rei
1531,São João da Boa Vista
1532,São João da Barra
1533,São Jerônimo
1534,São Gotardo
1535,São Gonçalo do Sapucaí
1536,São Gabriel
1537,São Francisco do Sul
1538,São Francisco do Conde
1539,São Francisco
1540,São Fidélis
1541,São Cristóvão
1542,São Carlos
1543,São Caetano do Sul
1544,São Borja
1545,São Bernardo do Campo
1546,São Bento do Sul
